1	70	12
2	70	12
3	72	12
4	70	12
5	159	12
6	32	12
7	208	12
8	200	12
9	135	12
10	260	12
11	260	12
12	120	12
13	120	12
14	122	12
15	230	12
16	88	12
17	89	12
18	422	12
19	447	12
20	33	12
21	33	12
22	34	12
23	39	12
24	254	12
25	109	12
26	120	12
27	344	12
28	57	12
29	54	12
30	58	12
31	58	12
32	300	12
33	300	12
34	230	12
35	230	12
36	93	12
37	88	12
38	88	12
39	98	12
40	78	12
41	70	12
42	139	12
43	134	12
44	318	12
45	318	12
46	324	12
47	365	12
48	444	12
49	308	12
50	32	12
51	300	12
52	80	12
53	75	12
54	70	12
55	70	12
56	78	12
57	203	12
58	207	12
59	215	12
60	242	12
61	238	12
62	193	12
63	339	12
64	342	12
65	365	12
66	10	12
67	18	12
68	18	12
69	88	12
70	88	12
71	98	12
72	93	12
73	89	12
74	93	12
75	394	12
76	120	12
77	422	12
78	415	12
79	272	12
80	272	12
81	152	12
82	51	12
83	104	12
84	788	12
85	790	12
86	767	12
87	926	12
88	908	12
89	868	12
90	858	12
91	606	12
92	735	12
93	715	12
94	630	12
95	969	12
96	957	12
97	895	12
98	512	12
99	512	12
100	483	12
101	483	12
102	483	12
103	584	12
104	582	12
105	941	12
106	1086	12
107	1086	12
108	1086	12
109	1087	12
110	1070	12
